"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"sociedad";15;24;152;15;194;600;315
"recordar";1;4;3;2;75;115;41
"interpretar";4;1;6;2;39;128;77
"determinante";0;0;1;0;4;16;13
"imposible";2;2;7;3;26;39;17
"suerte";0;0;0;1;14;21;10
"visible";1;0;4;2;23;24;13
"marcar";1;5;2;2;26;107;68
"brecha";0;8;54;0;65;231;153
"volver";6;5;16;8;130;186;100
"comercial";2;16;28;2;36;74;21
"impreciso";0;0;0;0;3;6;3
"tercio";0;1;2;0;4;5;26
"mundial";3;26;80;2;114;154;31
"insumo";0;1;1;0;4;45;7
"probablemente";6;4;2;2;26;31;7
"itu";0;0;17;0;0;3;1
"600";0;3;1;0;3;3;6
"exclusión";0;1;9;0;5;40;21
"racial";0;1;4;1;7;14;7
"etarios";0;0;1;0;0;0;39
"inglés";5;9;20;13;74;155;70
"joven";1;8;26;1;48;75;88
"zona";0;2;7;0;41;40;19
"urbano";1;1;2;0;7;22;25
"wikipedia";0;0;1;2;6;19;6
"indicador";1;7;38;11;23;69;50
"libremente";0;0;0;0;5;5;7
"accesible";0;1;15;11;45;206;66
"principalmente";3;11;10;3;34;116;50
"editor";0;3;3;0;20;90;35
"hombre";4;2;51;0;77;76;56
"blanco";0;2;3;2;31;37;32
"europa";0;10;33;17;26;98;20
"80";1;13;9;2;37;95;51
"84";0;1;4;0;12;52;54
"sur";0;10;17;1;22;34;11
"mayor";0;1;1;0;4;10;10
"norte";0;2;10;0;29;33;7
"permanecer";0;3;11;0;17;15;26
"sesgar";0;0;5;0;9;16;15
"hegemonía";0;0;0;0;3;5;6
"histórico";7;6;14;7;55;119;137
"preferir";1;0;3;0;19;49;18
"copilot";0;0;0;0;5;118;76
"apuntar";1;4;6;0;15;48;33
"exhibir";0;0;1;0;14;13;7
"representatividad";0;0;4;0;0;3;7
"hogar";0;4;5;0;19;23;99
"perder";2;2;6;1;49;81;76
"familiar";0;0;3;0;20;27;46
"habitante";1;1;2;0;7;2;12
"advertir";0;1;1;1;17;54;50
"estructurar";0;2;7;1;21;90;50
"idioma";6;0;42;6;83;221;74
"desprender";0;0;0;0;1;17;5
"positivo";2;8;13;5;75;241;285
"interpretación";4;0;4;3;29;141;76
"priorizan";0;0;2;0;4;3;6
"relevante";4;14;21;4;152;527;277
"colonialismo";0;0;0;0;6;1;18
"cambio";13;36;42;5;249;655;488
"diferencial";1;0;1;0;7;34;47
"n";1;4;46;10;269;495;309
"r";6;15;60;7;161;578;328
"2012";0;19;32;11;34;90;80
"traducir";1;1;11;3;20;99;41
"f";3;7;20;5;188;737;248
"página";1;2;4;6;66;207;76
"inicial";2;15;6;3;83;302;134
"sitio";0;3;15;2;72;96;51
"institucional";0;3;10;1;55;217;137
"whose";0;0;0;1;1;6;8
"ocupar";2;11;5;1;39;49;31
"lingüístico";3;0;12;6;39;113;21
"prompt";0;0;0;0;103;524;166
"casa";0;4;7;3;31;55;32
"domingo";0;0;0;0;4;6;8
"abuelo";0;0;0;0;5;4;2
"27";0;2;14;3;33;145;104
"junio";0;7;1;0;16;55;29
"35";0;2;18;4;28;121;73
"04";0;3;11;0;15;49;27
"pareja";0;0;5;1;9;10;9
"marginal";0;3;2;0;1;1;5
"inferencia";0;0;3;1;7;9;4
"probabilística";0;0;0;0;1;6;4
"malo";2;0;4;1;50;43;34
"pobre";0;1;2;0;14;5;4
"desempeño";0;7;5;0;88;154;80
"ilustrar";0;3;3;1;8;78;26
"distintos";0;4;17;0;82;211;98
"recopilan";0;0;3;1;12;15;12
"26";0;6;16;4;40;144;101
"originario";0;0;0;0;3;4;6
"río";0;0;2;0;13;20;30
"gallego";0;0;0;0;0;7;8
"santo";1;3;15;4;42;90;52
"cruz";0;0;0;2;8;28;17
"aire";2;3;2;5;59;99;39
"01";1;4;2;3;34;51;32
"parir";1;1;4;1;8;22;4
"york";0;2;35;0;44;25;38
"ciudad";1;9;8;1;43;89;37
"arriba";0;0;2;2;13;15;13
"abajo";0;0;2;0;6;8;4
"intuición";0;0;3;2;3;9;12
"encostar|encuestar";0;1;3;1;59;202;194
"débil";0;0;9;2;22;38;14
"candar";0;0;2;0;0;8;11
"completar";2;1;4;2;87;81;38
"relacionar";10;43;85;20;249;582;279
"costa";0;31;5;1;7;52;19
"lago";0;0;9;0;1;3;2
"montaña";0;0;0;0;9;1;1
"pionero";1;2;4;1;14;26;8
"xix";0;0;0;1;11;7;9
"parque";0;0;1;0;5;7;2
"presencia";3;7;7;3;22;73;111
"pie";1;0;3;0;12;26;7
"culturar";0;0;7;0;13;43;41
"comida";0;0;2;1;12;12;2
"publicitario";0;2;0;0;1;12;12
"pan";0;4;0;6;3;9;4
"evidentemente";0;0;0;0;5;12;4
"desplazar";0;1;5;0;21;15;12
"europeo";6;12;32;25;25;323;86
"falta";0;12;23;4;87;253;134
"desigual";0;0;5;0;13;17;11
"dominante";0;2;0;2;14;18;10
"acceder";2;6;27;2;80;171;103
"homogéneo";0;0;0;1;2;3;38
"ropa";0;0;0;0;3;5;3
"tarde";0;0;1;0;26;16;7
"ajeno";0;0;3;1;7;19;13
"entero";0;1;0;0;31;11;12
"argumento";1;0;1;0;53;74;72
"ventaja";2;9;10;2;49;158;96
"reemplazar";3;3;3;0;60;84;83
"típico";1;0;4;1;6;44;25
"norteamericano";0;0;0;0;13;1;1
"derecha";0;0;0;0;20;19;5
"29";0;4;60;1;40;139;104
"apoyo";2;26;34;13;207;527;257
"fondo";0;53;9;1;40;69;27
"jerga";0;0;0;0;3;10;2
"alineación";0;0;1;0;3;25;17
"garantizar";1;29;71;23;160;600;265
"instrucción";1;0;9;6;150;317;73
"fomentar";0;27;24;3;207;692;510
"discriminación";0;2;66;11;31;87;29
"distribuir";0;3;4;1;29;58;25
"únicamente";0;2;1;8;12;110;48
"nuestro";12;5;35;56;530;1191;485
"universal";0;0;35;1;24;92;45
"difundir";0;2;13;0;24;29;33
"humanidad";1;5;14;29;56;147;51
"regulación";1;22;7;1;33;202;99
"democrático";1;0;4;0;8;43;25
"incidencia";1;0;0;1;19;30;29
"infobae";0;0;0;0;7;3;2
"útil";7;1;17;5;126;315;132
"github";0;0;6;1;8;42;17
"programadores";0;1;6;1;9;15;6
"código";2;3;35;3;66;491;138
"denny";0;0;0;0;0;0;12
"programador";0;0;4;1;6;10;3
"provechoso";0;0;0;1;2;6;2
"traductor";0;0;0;3;5;15;8
"as";0;2;27;4;60;450;489
"acompañar";0;3;3;4;34;92;70
"mente";2;13;12;5;42;222;126
"emplearse";0;0;2;0;2;2;9
"exceso";0;0;0;3;8;6;9
"excesivo";0;4;4;0;13;40;46
"públicamente";1;0;1;0;4;7;5
"señalar";5;7;29;5;93;256;240
"chen";0;4;4;1;14;52;31
"principiantes";0;0;1;0;3;4;9
"acostumbrar";0;0;2;0;6;14;9
"principiante";0;0;0;0;2;8;3
"familiaridad";0;0;0;0;2;9;9
"claramente";0;2;6;9;30;72;31
"perjudicial";1;0;10;4;5;6;16
"práctico";12;13;61;15;233;956;604
"computacionales";2;4;6;1;14;53;16
"reutilizar";1;0;0;1;1;6;2
"orden";3;0;13;3;32;76;35
"delegar";1;1;0;1;8;12;12
"demasiado";1;4;9;2;36;53;17
"obstaculizar";0;1;1;0;8;9;6
"habilidad";49;46;56;3;546;1243;780
"metacognitivas";2;0;0;0;0;8;8
"super";0;0;2;1;12;18;5
"cialmente";0;3;0;0;1;7;12
"destreza";1;0;1;0;8;32;13
"poco";7;11;12;11;80;174;112
"copyright";0;2;0;0;0;7;9
"licencia";1;7;4;1;35;78;28
"li";0;3;2;0;18;32;42
"estudiante";63;79;192;78;1880;4859;3177
"apenas";1;1;0;1;27;28;20
"cuarto";0;8;16;0;16;53;37
"quinto";0;0;2;0;12;24;16
"consultar";0;26;6;2;48;106;64
"admitir";0;0;1;0;6;8;8
"apropiar";0;0;0;0;5;3;8
"31";0;3;19;2;27;104;88
"exigir";2;3;11;4;43;74;58
"abierto";4;12;133;5;125;308;156
"desarrollador";0;0;1;0;12;11;6
"acabar";1;1;1;3;28;36;15
"cumplimiento";0;2;3;4;10;66;36
"didáctico";1;0;1;4;170;362;240
"explicación";2;1;5;6;55;142;65
"observarse";0;3;1;1;4;6;7
"reemplazo";0;0;1;0;13;13;25
"feedback";0;0;0;0;44;101;94
"formativo";0;0;0;0;13;30;65
"mensaje";2;1;18;3;99;125;52
"impacta";0;0;1;0;10;18;8
"positivamente";0;0;0;1;6;32;27
"reducir";4;23;35;4;84;178;145
"repetición";2;0;0;5;6;15;8
"wang";0;0;5;0;22;25;27
"inherente";1;1;7;0;9;49;40
"renovar";1;4;0;1;8;19;26
"cotidianidad";0;0;0;0;0;5;5
"niño";4;12;58;2;91;152;523
"adolescente";0;0;1;1;23;22;320
"sorprender";0;1;2;0;14;10;9
"escuchar";0;3;12;5;43;46;20
"leer";2;5;12;7;141;170;95
"nativo";0;1;1;1;1;13;24
"yo";1;15;10;6;302;545;199
"gustar";0;0;1;2;43;57;21
"oportunidad";4;31;81;14;230;714;511
"consumidor";0;3;14;1;16;33;41
"enseñanza";23;24;75;50;491;1429;797
"complementar";2;4;4;1;17;92;50
"preocupación";1;14;37;5;108;181;120
"incorporación";0;10;4;0;37;191;134
"escolar";0;26;9;9;101;259;262
"duda";0;6;2;2;80;125;78
"escenario";1;7;2;3;118;370;158
"previamente";2;1;4;4;29;69;44
"junto";0;17;20;6;90;207;89
"mática";0;1;0;1;0;6;3
"1990";1;1;4;1;14;12;12
"consecuente";0;0;0;0;3;8;4
"concepción";1;0;1;1;19;69;42
"doctor";0;0;2;6;20;38;20
"pc";1;0;0;0;1;7;6
"microsoft";0;7;10;8;45;107;44
"windows";0;0;0;0;2;7;2
"plano";2;1;3;7;45;40;22
"eliminar";0;1;37;2;22;65;36
"escaso";1;2;9;1;9;20;15
"nulo";0;0;3;0;1;4;7
"logo";0;0;0;0;2;13;12
"predominar";0;1;0;0;2;6;6
"paquete";1;1;1;0;3;2;11
"dispositivo";0;6;30;4;109;201;142
"90";0;2;9;2;23;47;41
"33";0;4;9;6;25;132;70
"oportuno";0;2;4;0;13;40;25
"favor";0;0;6;2;21;61;40
"urgencia";0;0;2;0;2;25;32
"egresar";0;0;0;0;4;18;9
"ejercer";0;0;3;0;25;56;28
"límite";2;5;11;0;41;124;65
"común";5;9;49;9;100;237;103
"transmitir";0;2;4;1;28;52;32
"riguroso";0;0;1;0;8;54;28
"estudiar";1;6;7;7;77;159;129
"interesar";1;3;66;1;40;77;41
"eje";2;1;0;1;16;89;27
"mero";0;3;1;0;20;45;120
"calculadora";0;0;0;0;5;18;5
"naturaleza";2;1;17;0;96;201;82
"devolver";0;1;0;0;8;8;3
"valorar";1;0;1;0;64;110;116
"hacerlo";7;1;9;3;49;98;47
"despliegue";0;3;11;8;10;55;3
"recolectar";0;0;2;0;7;22;5
"aviso";0;0;0;0;5;7;10
"espectro";1;1;3;0;3;24;8
"conformar";0;2;0;3;10;45;28
"unesco";6;23;403;5;449;588;291
"relevamiento";0;0;0;0;0;8;18
"currículos";1;0;4;0;20;99;57
"aprobar";0;7;12;0;22;58;40
"regional";0;7;25;3;14;51;21
"importancia";7;14;42;4;186;511;283
"currículo";2;0;1;0;19;105;109
"escolaridad";0;0;0;0;4;0;8
"obligatorio";0;1;3;3;12;40;44
"fundamento";1;0;7;1;38;81;58
"consenso";0;5;28;1;43;58;25
"34";0;8;16;2;14;76;63
"emprender";1;1;4;0;15;35;14
"abarcar";0;2;12;2;28;138;73
"exposición";0;2;6;0;26;32;62
"asignar";1;6;7;5;55;111;42
"creatividad";10;3;7;2;141;350;213
"innovador";1;7;18;1;58;305;183
"materia";3;20;39;13;103;296;167
"aislar";0;0;3;0;10;19;31
"vital";0;9;11;0;26;67;33
"fortalecer";2;13;42;0;93;136;70
"valioso";1;1;3;5;79;198;111
"privilegiar";0;1;0;0;11;7;6
"productivo";1;7;2;0;20;68;31
"potencialidades";1;1;0;0;6;53;30
"secuenciación";0;0;0;0;2;6;2
"cuatro";0;7;19;4;77;175;87
"secundario";6;3;11;2;180;294;163
"recorrer";0;1;2;3;24;57;31
"abordaje";0;0;3;0;4;51;18
"iniciar";2;7;5;3;35;86;32
"indicar";0;5;4;19;142;328;171
"subjetividad";0;0;0;1;2;9;6
"secuencia";2;2;5;4;86;135;39
"instituto";1;17;15;5;57;159;61
"lavar";0;0;2;0;7;4;3
"mis";0;1;1;0;80;120;61
"plato";0;0;1;0;3;7;6
"dedicar";0;13;11;6;59;112;85
"arte";3;1;7;8;132;195;131
"escriba";0;0;0;0;10;36;1
"escritor";0;0;0;0;29;18;11
"enmarcar";1;1;3;0;12;31;19
"repositorio";0;0;3;0;9;23;12
"curriculum";0;0;2;0;7;23;41
"i";1;51;91;18;425;745;284
"want";0;0;1;0;2;6;9
"do";0;41;8;7;57;161;199
"my";0;0;1;0;6;6;20
"so";1;13;3;2;14;68;137
"Art";0;1;7;0;23;32;14
"writing";0;0;0;0;19;33;91
"optimismo";0;0;1;0;8;8;4
"acercar";0;1;4;0;10;49;21
"subrayar";0;0;4;1;11;123;64
"sumar";1;2;2;3;13;34;19
"contextualizar";1;0;1;1;2;16;15
"pertinencia";1;0;2;4;9;35;30
"resolución";5;6;16;5;76;293;193
"indiscutible";0;0;0;0;1;6;3
"rumbo";0;0;1;0;6;3;12
"precisar";1;1;4;0;4;9;4
"argumentación";0;1;0;0;14;16;11
"divulgación";0;0;4;1;3;29;18
"fundar";0;8;1;1;12;39;25
"vivir";0;9;27;3;83;107;55
"l";1;14;40;15;220;872;322
"alonso";0;0;0;7;3;17;23
"alemany";0;0;0;7;0;5;2
"ferrante";0;0;0;26;1;3;1
"v";1;6;21;3;56;228;192
"d";1;44;79;6;246;784;306
"rodríguez";0;4;0;0;13;157;89
"s";4;22;146;12;375;1129;665
"63";0;4;7;0;10;67;36
"85";0;1;5;1;8;41;28
"b";1;13;42;17;125;474;232
"exploring";0;2;1;0;7;30;30
"educational";1;7;20;0;95;234;170
"potential";0;0;6;0;17;50;78
"robotics";3;5;5;0;2;2;10
"schools";0;2;7;0;11;19;81
"systematic";0;1;1;0;22;76;54
"education";8;49;56;3;414;862;753
"58";0;2;6;1;15;53;36
"978";1;0;2;4;31;163;48
"gomez";0;0;0;0;0;7;5
"effect";0;0;1;0;3;12;21
"web";1;6;31;17;133;258;118
"based";4;3;9;2;30;65;129
"coding";0;1;0;0;1;5;6
"tool";0;1;4;0;10;38;102
"with";1;2;38;3;121;293;437
"automatic";0;1;1;0;5;2;5
"students";0;6;9;0;93;253;285
"performance";0;0;1;0;8;42;41
"perceptions";0;0;0;0;4;19;24
"proceedings";0;2;4;0;27;40;67
"acm";0;1;5;1;16;11;33
"technical";0;2;3;0;3;9;30
"symposium";0;0;0;0;3;2;12
"virtualidad";0;0;0;0;1;13;4
"156";0;0;3;0;4;9;7
"167";0;0;4;0;3;9;12
"wp";0;3;9;1;6;54;20
"content";0;3;27;1;11;122;99
"uploads";0;3;10;1;6;55;22
"06";0;0;8;0;14;46;11
"pdf";0;22;33;6;55;239;113
"jun";0;1;1;0;1;3;7
"h";2;2;33;1;122;257;165
"q";0;0;5;0;13;28;13
"pintar";1;0;0;0;56;14;7
"p";4;18;43;15;266;621;508
"kaplan";0;0;1;1;1;5;5
"w";0;5;16;2;83;151;114
"evaluating";0;0;1;0;4;8;10
"models";0;0;5;2;21;53;55
"code";0;1;7;0;13;46;36
"arxiv";0;0;17;0;23;70;48
"preprint";0;0;2;0;11;18;12
"inclusión";1;12;32;3;58;335;109
"south";0;3;2;0;8;3;5
"contexts";0;0;0;0;1;11;12
"1177";0;0;0;0;6;27;15
"communications";0;0;9;1;3;10;16
"67";0;4;6;0;9;87;42
"56";0;0;6;0;22;49;50
"growing";0;1;0;0;4;4;4
"energy";0;0;0;0;1;3;7
"américa";0;16;13;0;126;165;69
"latino";0;15;2;0;104;150;68
"absoluto";0;0;4;0;11;20;21
"online";2;1;22;4;45;138;428
"www";3;33;245;12;212;726;375
"researchgate";0;0;1;0;2;11;12
"net";6;0;15;0;20;103;44
"publication";0;1;11;4;4;30;19
"tesis";0;1;1;1;16;33;49
"doctorar";0;1;0;2;6;31;9
"edu";1;6;17;3;90;279;197
"handle";0;3;1;3;19;44;30
"regular";1;3;9;1;33;92;55
"must";0;0;3;0;2;26;48
"annual";0;0;4;0;5;3;13
"theory";0;1;10;0;26;30;25
"171";0;0;4;4;0;10;10
"llm";0;0;0;0;11;387;61
"solve";0;0;0;0;2;1;10
"tasks";0;0;2;2;6;9;45
"environment";0;0;4;0;26;31;36
"internacional ";2;10;40;2;101;163;175
"choi";0;0;0;0;6;5;3
"level";0;0;7;0;14;23;33
"generation";0;3;7;0;6;23;31
"periódico";2;12;29;5;156;306;281
"38";0;3;20;2;22;78;50
"harris";0;6;0;0;3;5;5
"course";0;0;0;0;10;20;32
"notar";1;4;5;2;21;24;19
"1145";0;0;0;1;14;11;23
"capítulo";0;2;196;17;198;659;206
"89";0;2;4;0;9;33;22
"122";0;0;1;1;3;12;4
"from";0;2;234;2;46;188;214
"original";4;0;14;3;67;145;74
"08";0;1;7;1;11;43;19
"retrieved";0;0;220;0;0;16;19
"2006";1;3;11;1;22;129;70
"09";0;2;10;0;19;51;16
"47";0;0;5;1;26;70;53
"april";0;0;17;0;20;5;4
"http";3;10;53;8;51;168;101
"formal";1;2;15;22;33;131;69
"history";0;0;2;0;9;51;9
"html";0;2;35;2;12;83;28
"thoughts";0;0;2;0;1;5;9
"thinking";1;1;3;0;10;63;83
"machines";0;1;11;1;4;15;14
"report";3;18;27;0;31;58;54
"department";0;10;0;0;3;16;27
"university";0;14;42;1;97;190;109
"published";0;0;2;0;5;5;6
"1999";0;2;0;0;5;16;13
"philosophy";0;0;6;0;2;8;7
"api";0;2;0;0;10;18;6
"logical";0;0;0;0;1;7;6
"activity";0;0;0;0;2;40;26
"mathematical";0;0;1;0;2;9;7
"115";0;0;1;0;4;12;8
"133";0;1;2;0;3;8;7
"1007";0;0;0;1;50;76;60
"scale";0;1;2;0;6;14;28
"using";0;5;11;2;40;69;117
"pearson";0;2;5;0;6;16;18
"isbn";1;0;2;3;15;141;20
"205";0;1;0;0;0;4;5
"0";2;38;19;10;143;413;408
"kumar";0;0;3;0;13;2;11
"users";0;0;3;0;3;21;11
"write";0;0;3;0;9;9;16
"morar";1;0;15;0;15;40;80
"assistants";0;1;3;0;16;1;8
"security";0;0;8;1;8;17;16
"programming";0;0;0;1;3;6;14
"exercises";0;0;0;0;1;0;9
"43";0;4;5;1;27;77;39
"guía";0;2;38;0;250;433;152
"193";0;0;1;0;1;8;11
"see";1;0;9;0;3;1;27
"capabilities";0;0;4;0;2;7;9
"limits";0;0;0;0;3;4;3
"automated";0;1;6;0;2;9;19
"multimedia";1;0;0;1;25;76;42
"cdt";0;0;0;0;0;12;4
"insights";0;6;5;0;16;47;31
"of";0;1;27;0;33;52;20
"interdisciplinaria";0;0;3;0;4;32;20
"moral";0;1;3;0;98;137;55
"39";0;3;12;3;29;73;56
"mind";1;0;2;0;10;23;21
"volume";0;0;0;0;7;4;10
"lix";0;0;0;0;0;0;10
"issue";0;0;4;0;1;8;10
"236";1;0;2;0;2;6;11
"1093";0;0;0;0;2;4;4
"preescolar";0;0;7;0;4;9;2
"primario";3;3;2;3;59;211;83
"mapeo";0;1;0;0;0;13;19
"reporte";0;0;0;0;5;45;24
"ict";0;0;6;0;2;32;40
"k";0;5;54;15;166;233;211
"rev";0;0;5;0;0;10;4
"unesdoc";1;0;13;2;30;78;48
"ark";1;0;13;2;33;73;49
"48223";1;0;13;2;31;74;49
"mitchell";0;0;4;0;7;9;5
"effective";0;0;2;0;12;18;56
"translated";0;0;0;0;58;238;33
"filtrar";0;1;3;1;9;38;25
"lluvia";0;0;0;0;14;35;8
"edición";1;0;4;4;43;188;65
"alcance";0;9;11;0;47;238;89
"agregado";0;1;0;0;14;115;5
"encantar";0;0;0;0;3;7;2
"compañero";4;0;7;3;54;78;39
"perfecto";0;0;2;2;7;21;8
"ritmo";0;13;5;4;57;151;90
"quedar";5;18;13;10;76;185;98
"estancar";1;1;1;0;4;5;2
"resumir";1;0;4;2;26;106;25
"conmigo";0;0;0;0;8;5;0
"planificación";2;4;15;10;81;223;99
"estratégico";1;14;24;3;33;193;146
"asesor";0;2;0;1;9;29;8
"gradualmente";0;3;1;1;5;11;4
"tú";0;19;5;5;405;503;297
"misión";1;2;4;0;26;48;25
"tus";0;0;1;0;166;73;82
"favorito";0;0;0;0;5;7;2
"pedir";1;1;9;5;261;273;72
"básicamente";0;0;0;1;8;13;1
"divertir";0;0;0;1;2;8;8
"dinero";0;1;2;0;18;7;21
"usé";0;0;0;0;0;11;0
"lanzar";0;11;17;1;38;62;20
"mercado";5;56;65;4;99;262;87
"partida";3;2;4;4;22;103;52
"terapia";0;0;2;0;3;9;3
"acompañamiento";1;0;0;0;9;36;38
"orientación";0;1;23;12;130;244;121
"emocional";1;3;9;2;58;158;65
"compañía";1;24;5;3;27;56;8
"virtual";3;9;30;16;201;476;325
"empáticas";0;0;1;0;3;7;1
"curación";0;0;0;0;5;8;2
"padre";0;3;4;2;39;53;92
"morir";0;0;0;0;7;3;0
"cáncer";0;0;2;0;0;10;7
"cuidar";0;0;1;0;8;22;12
"agresivo";0;3;1;0;5;5;2
"madre";0;0;2;0;10;9;16
"trabajador";3;20;19;0;83;58;5
"saber|ser";0;0;0;0;10;16;8
"lidiar";0;0;1;0;4;9;3
"consejo";3;17;31;1;46;177;40
"amigo";0;0;5;0;20;23;40
"sincero";0;0;1;1;2;6;4
"ninguno";2;0;4;1;44;58;36
"carta";0;1;1;1;28;68;13
"reflexión";1;3;14;1;157;459;298
"divino";0;0;0;0;18;3;0
"conversacional";0;0;0;2;36;64;8
"chats";0;1;0;0;1;12;5
"personalizadas";0;3;3;6;38;165;62
"personalidad";0;1;0;0;10;36;21
"adaptar";4;8;15;10;144;683;289
"paciente";0;0;4;0;17;21;43
"seguro";1;8;17;10;73;219;171
"imperfecto";0;0;2;0;2;13;1
"específico";13;23;37;31;312;1361;468
"preferencia";2;2;12;2;28;176;34
"eficiente";3;8;10;1;67;278;87
"eficaz";1;1;19;7;42;163;77
"sabor";0;0;0;0;2;10;0
"textura";0;1;0;0;2;7;1
"tienda";0;0;0;1;10;8;1
"noche";0;0;0;1;11;19;3
"ayuda";6;6;16;9;161;301;117
"interrogar";2;0;2;0;5;8;8
"menudo";10;1;20;5;62;124;62
"párrafo";0;0;2;1;25;48;13
"z";0;1;5;0;17;67;69
"cosa";4;3;35;15;125;168;39
"tdah";1;0;0;0;0;18;0
"recuerdo";0;0;0;0;9;11;2
"televisión";0;0;2;1;13;15;31
"proporcionar";14;20;43;26;386;1312;409
"exactamente";1;0;0;1;15;16;5
"episodio";0;0;0;0;3;3;7
"ahí";0;1;0;1;20;59;35
"editar";0;0;0;1;15;65;14
"refinar";0;0;0;0;14;36;15
"corregir";2;2;7;0;32;83;24
"coherencia";0;0;0;0;12;103;43
"gramática";2;0;0;0;21;36;10
"legibilidad";0;0;0;0;1;12;3
"agilizar";0;2;1;0;3;56;18
"comprobar";2;1;6;2;18;69;44
"sentir";0;0;7;5;38;60;42
"copiar";0;0;0;0;16;34;12
"chat";0;3;5;0;176;243;147
"desinformación";0;0;27;1;7;112;21
"limpiar";0;0;2;0;4;8;2
"reescribir";0;0;0;0;7;7;1
"indicación";0;0;1;3;64;173;17
"reescritura";0;0;0;0;10;10;1
"presentación";0;2;7;1;85;248;104
"recientemente";1;4;6;0;25;37;24
"amable";0;0;0;0;6;8;1
"innecesarias";0;0;0;0;7;5;0
"corrector";0;0;0;0;0;13;2
"gramatical";0;0;0;0;2;15;2
"disputa";0;2;1;0;4;8;3
"nadie";0;0;5;4;35;20;4
"mantenimiento";0;2;3;5;8;31;10
"piel";0;0;16;5;6;9;2
"reforma";0;3;2;0;4;18;7
"curioso";0;0;1;0;13;13;4
"robot";1;5;29;2;107;40;13
"cinco";1;10;8;0;95;157;60
"fórmula";0;0;1;0;18;41;14
"final";4;2;13;9;127;369;208
"finalmente";0;1;4;5;58;154;131
"humor";0;0;1;0;7;5;4
"revelar";1;3;13;0;23;96;52
"público";2;70;97;8;167;598;178
"todavía";2;8;10;3;60;99;52
"nuclear";0;1;0;0;5;8;2
"militar";0;8;5;0;1;17;0
"instalación";0;9;1;0;10;18;3
"oído";0;0;0;0;5;12;0
"experimentación";0;2;0;2;13;43;47
"cerebral";0;0;2;0;4;11;4
"diversión";0;0;0;0;8;5;7
"alegre";0;0;0;1;0;4;7
"lúdicas";0;0;0;0;1;6;9
"serio";2;1;1;0;22;16;14
"agregar";0;1;7;4;34;93;19
"recreación";0;0;1;0;4;18;3
"ficticio";0;0;0;0;7;29;2
"marca";0;1;2;1;11;44;50
"convertir";5;16;18;6;108;296;200
"jugador";0;2;1;0;76;31;6
"fútbol";0;0;0;0;0;12;0
"ofertar";0;6;17;1;23;67;44
"euro";1;2;0;0;17;10;3
"élite";0;0;0;0;1;10;0
"alumno";18;6;2;10;1252;819;655
"sesión";0;0;8;0;41;154;177
"cumplir";2;5;20;8;60;172;85
"dominar";1;1;2;1;24;41;25
"baile";0;0;0;0;8;1;1
"dibujo";0;0;0;9;14;79;4
"gato";2;3;3;0;26;64;1
"caballo";0;0;0;0;6;5;0
"batalla";1;1;0;0;5;5;5
"identificar";3;20;71;29;357;751;356
"inconveniente";0;1;3;1;12;18;8
"tendencia";4;4;17;5;238;284;169
"asistencia";4;11;7;1;53;182;50
"mecánico";2;0;3;1;16;29;21
"fuente";10;38;37;5;162;633;485
"fuga";0;0;5;0;0;5;1
"motor";0;6;13;4;42;64;42
"súper";1;1;0;1;4;4;2
"dañar";0;0;2;0;3;20;4
"vehículo";0;10;22;0;50;22;3
"certificar";0;1;3;0;3;10;3
"contacto";1;3;7;3;23;49;55
"averiguar";0;0;0;0;3;8;0
"cuesta";0;0;0;0;10;10;5
"ahorrar";0;1;0;0;9;60;9
"75";0;3;5;0;13;84;48
"subir";0;1;0;0;9;30;22
"captura";2;1;0;1;6;29;42
"instalar";0;3;4;2;11;15;13
"mal";0;0;7;5;44;55;28
"retención";0;2;2;1;21;87;19
"interactivo";1;1;6;3;70;231;124
"retroalimentación";3;6;13;0;147;514;218
"instantáneo";0;1;0;1;15;81;31
"adaptándose";0;0;0;0;2;41;8
"individual";10;11;22;7;115;378;186
"memorizar";0;0;1;0;7;9;6
"complicar";0;1;7;3;8;16;3
"poema";0;0;0;0;15;16;1
"animar";0;0;5;0;56;52;26
"divertido";0;0;0;0;5;5;8
"familiarizar";0;1;1;0;9;19;12
"adobe";0;0;0;0;1;51;2
"minuto";2;0;3;1;147;60;43
"profesor";10;10;19;20;322;1040;411
"químico";0;0;0;0;7;43;46
"revisión";1;4;23;3;107;376;171
"examen";8;1;16;0;103;167;95
"alemán";0;0;0;1;5;11;13
"probar";2;5;13;3;60;76;34
"jefe";0;0;8;0;11;65;6
"diálogo";4;1;23;3;129;184;97
"plan";1;41;68;10;114;579;231
"lección";2;2;2;1;53;123;36
"ruta";0;4;1;0;61;61;57
"adaptativas";3;3;0;0;13;34;26
"comentario";0;1;5;4;55;131;47
"tutor";3;1;7;0;23;81;14
"python";0;0;0;1;18;45;14
"increíble";0;0;1;0;10;12;2
"analogías";1;0;0;0;3;7;0
"obvio";3;0;0;0;15;16;7
"fino";0;0;0;0;7;8;3
"dificultad";5;9;14;8;96;241;128
"nota";2;7;13;8;80;129;95
"licenciatura";0;0;3;0;5;37;19
"posgrado";0;2;1;0;11;24;18
"escritura";0;2;15;2;151;197;77
"universitario";0;10;11;1;74;649;321
