"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"varios";3;29;65;11;222;298;165
"facultad";0;3;2;6;32;159;55
"ciencia";6;45;87;18;191;620;376
"exacto";1;0;2;3;6;32;20
"natural";8;16;41;24;219;381;135
"1";9;55;206;53;920;3379;1756
"centro";1;50;43;77;64;606;287
"investigación";9;84;252;43;472;2134;754
"informática";9;10;31;18;150;100;34
"aplicar";8;16;50;29;215;595;366
"argentino";3;7;9;2;60;143;200
"iniciativa";1;50;55;2;54;213;153
"program";0;0;3;0;11;8;54
"uba";0;0;0;3;7;25;1
"miembro";0;7;28;5;55;160;51
"victoria";0;0;0;0;5;18;5
"directora";2;0;5;1;20;47;23
"programa";11;56;103;16;291;858;317
"dato";74;136;568;279;1213;4004;1415
"respuesta";11;12;35;14;565;1270;546
"elegir";0;3;11;9;90;122;67
"buscar";13;26;54;19;328;921;539
"dar";16;109;115;50;510;1344;754
"cerrado";1;0;2;0;9;32;10
"asunto";0;2;12;0;14;39;24
"presentar";7;11;57;14;254;781;415
"nuevo";44;162;179;43;778;1529;1080
"aristas";0;0;0;1;2;5;3
"promover";0;23;85;2;198;661;347
"seguir";4;32;50;20;294;589;330
"investigar";1;11;16;3;62;189;68
"pensar";6;2;8;10;316;346;540
"discutir";0;1;9;2;72;111;38
"aún";11;24;44;4;120;287;95
"incierto";0;1;0;0;16;9;20
"índice";0;17;14;3;48;139;52
"2";14;41;177;48;866;2604;1178
"introducción";3;6;24;6;128;319;144
"qué";31;16;66;54;956;1146;556
"inteligencia";48;43;144;46;791;1079;386
"arti";35;23;46;30;247;700;286
"cial";35;29;48;29;249;717;307
"5";9;40;104;22;518;1116;733
"cuándo";0;0;5;4;42;72;34
"surgir";5;8;14;10;82;201;136
"7";8;28;48;13;223;575;402
"cómo";20;16;106;86;982;1779;960
"construir";10;7;31;12;160;323;165
"aplicación";9;56;184;41;486;1610;679
"9";9;16;36;7;161;364;337
"4";12;39;149;36;682;1610;977
"cuánto";0;1;2;2;37;48;26
"intervenir";0;5;6;2;19;38;22
"creación";10;29;33;8;221;963;424
"11";6;10;34;9;108;272;206
"cuál";6;3;13;15;189;311;83
"verdadero";16;2;2;1;64;95;168
"costo";1;12;31;6;38;55;55
"12";8;11;46;10;120;298;302
"6";6;26;92;15;271;734;533
"16";3;11;42;0;62;194;135
"correcto";2;7;5;4;81;148;103
"equivocar";0;0;0;0;18;16;12
"nunca";1;0;7;5;68;96;100
"resultado";19;20;82;56;427;1448;874
"justo";1;5;5;9;58;146;41
"20";3;22;35;6;154;278;165
"8";5;15;31;9;227;595;330
"afectar";0;7;39;10;115;263;132
"diversidad";0;1;39;5;72;273;111
"cultural";6;5;30;4;111;307;210
"capacidad";40;60;132;44;512;1371;765
"computadora";4;8;34;35;176;238;71
"generar";35;32;58;27;638;1885;972
"contenido";5;2;77;16;237;1239;548
"digital";22;74;165;117;573;2515;1418
"24";2;2;15;3;71;152;124
"recomendable";0;1;0;1;8;10;20
"usar";23;5;59;26;548;847;424
"generativa";0;0;2;0;232;1026;635
"programar";3;1;8;4;47;72;39
"30";1;14;22;3;78;185;113
"deber";32;103;173;45;976;2187;1553
"hacer";62;37;127;64;1077;1669;685
"escuela";3;38;39;48;271;404;414
"ante";0;9;12;7;74;242;164
"32";1;5;10;3;33;71;80
"conclusión";2;2;18;7;103;240;163
"36";0;4;6;1;27;72;66
"bibliografía";0;0;2;1;13;49;20
"37";0;1;10;1;29;90;67
"formar";4;13;13;6;91;193;195
"parte";13;79;144;24;380;1059;636
"todo";33;92;251;82;1068;2018;1079
"grande";46;135;152;59;758;1668;820
"ejemplo";39;69;238;75;800;1805;634
"estar";47;122;294;106;1412;2522;1317
"presente";7;5;14;8;103;247;174
"funcionamiento";2;3;8;8;57;163;101
"él";29;86;124;73;1197;2454;1406
"creativo";3;1;6;2;161;329;201
"imagen";18;12;70;26;321;1039;333
"red";33;21;117;15;351;641;657
"social";26;68;132;33;432;1408;1114
"plataforma";4;38;74;3;226;699;453
"transmisión";0;0;4;0;11;31;43
"contener";7;6;68;21;257;662;614
"modelo";52;23;67;35;441;1912;766
"análisis";8;37;64;51;334;1326;718
"riesgo";5;54;76;20;207;696;540
"bancario";0;0;3;0;10;6;10
"utilizar";45;38;210;119;1099;2388;1186
"otorgar";3;7;0;0;14;43;24
"rechazar";0;1;4;0;14;28;16
"crédito";0;1;8;0;20;37;18
"aquel";4;16;14;6;177;285;191
"reconocimiento";7;16;61;12;120;232;65
"facial";1;5;38;1;37;41;22
"estado";9;49;84;8;158;437;130
"control";0;6;11;3;86;192;102
"circulación";0;0;2;0;3;13;5
"frontera";1;1;6;3;22;55;21
"prevención";0;0;2;1;15;20;33
"también";61;79;216;59;808;1935;1160
"incorporar";1;9;12;9;117;339;174
"producto";6;23;26;7;84;284;140
"aumentar";8;48;47;17;144;261;153
"rápidamente";5;2;9;2;71;102;40
"difusión";0;9;21;0;38;74;60
"sencillo";3;0;8;7;46;114;35
"comprender";11;9;29;24;219;620;370
"respecto";3;15;58;5;99;275;212
"consecuencia";2;6;40;7;73;185;126
"haber";102;215;406;121;2051;4301;2366
"impactado";0;0;1;0;1;7;7
"signi";0;0;0;0;1;10;31
"cativa";0;0;0;0;1;10;18
"cierto";2;23;33;13;135;255;172
"área";10;30;44;18;221;739;333
"incluso";16;13;52;16;170;338;162
"puntual";3;0;1;1;9;18;22
"sector";4;81;124;8;179;386;191
"lograr";5;22;35;9;126;290;169
"bueno";21;40;71;38;524;985;488
"computación";7;9;31;6;21;103;57
"como";149;221;610;206;2545;6879;4009
"programación";11;4;15;2;110;282;96
"tradicional";10;10;10;3;92;270;256
"avance";3;29;29;9;144;404;238
"dentro";13;14;23;4;162;364;199
"visión";9;23;40;6;165;368;193
"especialmente";0;8;36;12;76;352;166
"identi";0;0;0;0;0;5;15
"car";0;2;0;0;39;23;23
"clasi";0;1;0;0;3;3;10
"elemento";12;14;32;12;118;485;236
"cos";0;5;1;1;2;27;35
"rostro";2;0;12;2;11;19;6
"objeto";4;2;23;24;112;166;89
"predicción";8;2;27;15;48;104;58
"posible";23;29;76;35;344;707;325
"enfermedad";0;0;3;0;17;27;67
"futuro";50;30;41;18;599;896;482
"basarse";0;0;12;3;14;91;32
"médico";2;5;19;0;39;90;49
"incluir";3;52;159;30;444;1164;465
"ese";18;16;83;74;623;954;486
"lista";2;0;11;10;89;198;36
"traducción";7;1;34;7;31;138;34
"texto";10;4;28;35;569;1277;371
"hablar";11;6;23;23;208;243;77
"humano";53;32;409;70;836;1788;656
"punto";18;21;47;29;200;558;339
"interesante";2;2;4;7;46;135;59
"reciente";12;6;19;0;54;133;86
"tener";64;106;282;110;1570;2765;1410
"70";0;7;16;0;23;75;44
"año";13;64;48;18;335;647;561
"embargo";24;34;106;20;245;532;345
"combinación";2;6;7;1;26;73;43
"tres";4;17;28;4;160;385;167
"factor";6;30;18;1;67;197;146
"actual";35;28;23;7;335;461;248
"masivo";0;3;11;7;45;81;41
"disponibilidad";2;5;27;1;34;68;71
"hardware";1;3;32;0;15;27;25
