"";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"X.YEAR2019";0;0,29980749324666;0,298643296778763;0,260172807299781;0,217505028479673;0,237238865579546;0,25772756893502
"X.YEAR2020";0,29980749324666;0;0,261108937129663;0,303554800524082;0,264736047715992;0,249600356403642;0,266426038249492
"X.YEAR2021";0,298643296778763;0,261108937129663;0;0,280452623689359;0,243104549154927;0,231015334810585;0,254902863232248
"X.YEAR2022";0,260172807299781;0,303554800524082;0,280452623689359;0;0,206812381598225;0,224877726481735;0,255106404838077
"X.YEAR2023";0,217505028479673;0,264736047715992;0,243104549154927;0,206812381598225;0;0,137132004589684;0,163755248766689
"X.YEAR2024";0,237238865579546;0,249600356403642;0,231015334810585;0,224877726481735;0,137132004589684;0;0,116407086199581
"X.YEAR2025";0,25772756893502;0,266426038249492;0,254902863232248;0,255106404838077;0,163755248766689;0,116407086199581;0
