"";"*YEAR2018";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"all";1;0;0;14;0;14;51;72
"knowledge";2;5;2;10;5;31;113;99
"by";165;1;5;40;5;143;521;257
"at";0;1;0;28;2;309;103;142
"economic";0;0;7;8;0;16;28;27
"summit";0;0;1;2;0;4;5;2
"stanford";11;2;6;19;2;46;65;26
"institute";9;0;8;18;1;21;45;28
"for";13;2;47;151;7;303;860;895
"policy";0;0;12;18;0;14;51;36
"research";7;2;23;63;5;90;292;223
"ver";217;11;20;61;38;513;747;427
"enriquecidas";0;0;0;0;0;2;9;4
"aporte";3;3;13;8;0;37;53;388
"ámbito";9;7;36;31;28;136;805;461
"tanto";189;37;31;94;25;381;968;551
"académico";39;2;29;46;3;334;1297;654
"empresarial";13;0;17;11;0;22;113;64
"capaz";84;6;15;21;21;198;324;187
"distinto";7;0;12;19;8;104;221;116
"método";43;7;10;21;18;128;448;246
"habitual";12;0;3;2;0;17;31;43
"similar";36;9;9;24;2;134;201;121
"término";71;2;30;40;15;142;299;184
"asociar";21;4;15;23;9;69;287;138
"imaginario";3;0;0;1;0;8;25;9
"máquina";99;31;12;58;27;268;415;109
"inteligente";130;22;62;59;11;246;303;102
"robots";29;5;9;61;8;125;55;15
"humanoides";0;0;0;4;0;1;2;3
"mostrar";44;10;12;53;35;240;556;368
"cine";2;0;0;0;0;10;16;16
"interactúa";3;0;1;0;1;9;16;12
"distar";2;0;0;0;0;2;2;10
"fuerte";18;2;20;13;1;53;86;50
"conceptual";7;2;0;4;2;53;120;83
"técnico";18;10;5;20;3;65;232;98
"directamente";6;1;3;9;3;38;118;48
"realmente";31;3;0;14;1;44;117;64
"analizar";108;6;29;44;12;331;880;452
"detalle";25;1;1;16;9;62;201;55
"distinguir";8;3;0;8;4;28;93;39
"dos";104;1;42;46;43;275;551;439
"creador";5;3;0;10;4;29;100;37
"desarrolladores";8;1;1;17;0;30;81;35
"antiguo";18;1;1;2;2;17;20;15
"ambicioso";3;0;3;2;0;4;15;7
"denominar";8;1;3;11;6;29;100;51
"general";65;13;22;122;28;245;716;372
"amplio";29;10;11;57;9;125;359;203
"conciencia";58;3;2;19;0;34;117;90
"segundo";66;4;9;10;11;123;260;178
"objetivo";110;14;46;122;29;419;1170;658
"centrar";48;7;16;51;13;155;581;303
"dominio";40;3;0;13;7;47;159;62
"preciso";60;3;0;10;1;86;338;117
"según";42;5;21;32;9;223;548;265
"enfocar";2;3;4;7;0;54;183;107
"corresponder";2;0;2;3;1;37;75;41
"ación";0;0;0;1;0;4;2;4
"2022";0;1;4;0;9;392;861;676
"hasta";153;4;29;65;14;259;560;310
"momento";105;2;8;9;8;153;289;183
"implementación";4;8;16;20;2;151;679;383
"práctica";40;10;3;14;9;163;516;457
"funcional";1;1;0;1;0;9;35;15
"década";54;6;12;11;9;81;109;89
"siglo";43;10;10;1;13;102;166;136
"xxi";20;5;7;3;4;48;118;92
"llegar";133;1;21;21;9;180;237;100
"éxito";63;6;10;16;12;82;174;109
"tomar";124;7;32;114;20;414;816;387
"mano";31;4;11;14;8;61;93;44
"mejora";24;1;13;22;3;128;627;347
"procesador";3;2;0;7;1;6;8;7
"moderno";21;0;5;5;4;29;57;38
"accesibilidad";1;0;0;19;1;29;184;37
"socialización";1;0;0;0;1;7;46;41
"necesitar";210;22;17;26;22;235;341;172
"metodología";10;1;0;15;4;74;416;314
"propio";134;5;27;32;15;314;743;585
"posiblemente";9;0;2;4;2;15;14;11
"predominante";0;0;0;0;0;2;9;10
"aprendizaje";379;145;81;367;146;1997;4490;2597
"automático";111;21;29;112;43;317;458;156
"machine";167;4;6;36;2;126;361;106
"learning";22;10;33;73;6;325;730;638
"ml";0;0;0;1;0;9;23;9
"representar";30;6;16;27;14;141;309;183
