"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-3,26602886411464;1,07438129269669;1,47986096614524;-0,551627035654234;0,924540391003601;-0,351605322596981;-0,835142501102656;0,274725520579209;0,378409022078792;-0,141054228667083;0,236410333967604;-0,0899075178854091;0,803474135069848;0,0643827736760082;0,0905830267495821;0,0104978915542436;0,0273535604239629;0,00324785280993613;0,652517237142866;0,0706104252353978;0,133965750571487;0,0186141426471357;0,0522882046068983;0,00756245551673059;0,0611718974089301;0,882769130464223;0,0476701180425125
"classe 2";-0,876000407643496;0,150554141856808;-0,402162741653207;0,0620364315953037;-0,369500356283276;0,420699720668425;-0,777586325477671;0,133640168349697;-0,35698185274522;0,0550669616920666;-0,327988916212848;0,373436298738773;0,0402882648265178;0,000881203687273401;0,00466279956053057;9,25428129699906e-05;0,00304529865730089;0,00324091758948852;0,00479541662005113;0,000141645617863942;0,00101069797012104;2,40497931341497e-05;0,000853193327974975;0,00110601794886815;0,00624910364279568;1,0573727076151;0,00698672935699997
"classe 3";-0,444174884650328;-1,67037673678049;0,463072922581909;-5,54961679340701;-4,74727642053414;0,166010952987022;-0,0590585378011451;-0,222097221298239;0,0615712653913788;-0,737890107031417;-0,631209043157215;0,0220732069308838;0,00756611451482166;0,079234573242068;0,00451582207477337;0,540966083372977;0,367184360890591;0,000368631117557025;0,0034250902357526;0,0484387455240489;0,00372274076889892;0,53467516558482;0,39124883881951;0,000478451043946695;0,0173605716368678;1,23717351130428;0,026572061383603
"classe 4";-0,80917671087147;-4,40186312084849;0,404190261312808;0,807300969679434;0,925730763528983;-0,194564407875751;-0,173541195669462;-0,944051625438705;0,086685220031399;0,173138912256137;0,198538120799107;-0,0417275232020883;0,041523617327524;0,909918388010985;0,00568922690842396;0,0189303442193356;0,023089155280349;0,000837314896720842;0,0287901392322239;0,851981340300735;0,00718337776860535;0,0286568179002263;0,037681346052749;0,00166450003676621;0,043970055693661;0,962074833919254;0,0406981552964751
"classe 5";-0,950789421579764;0,0270828005327674;-1,03830121747777;0,0541332209374997;0,451871905522617;8,79501175651294;-0,106606986666106;0,00303665111300917;-0,116419221264725;0,00606967161360372;0,0506660056511747;0,98613812877404;0,0316216828198239;1,89987217246141e-05;0,0207079046564963;4,69486560850197e-05;0,0030344305237511;0,943719086043529;0,0111943964901553;9,08278731842632e-06;0,0133499220282635;3,62877248266534e-05;0,00252849840343292;0,957866205790166;0,0123831747777034;1,29540306953049;0,0207798231097602
"classe 6";-0,601199431776977;0,20841879085948;-0,927295761856065;1,24828623912223;-1,35660863446236;-0,23685024600925;-0,27674029542509;0,095938011092447;-0,426846882279952;0,574603175469915;-0,624465450953075;-0,109025397542991;0,151539015060385;0,0134859648952626;0,197968923448122;0,299222905312886;0,327813407767225;0,00820330032571035;0,0627907038821595;0,00754626361908064;0,149380799116261;0,27069896454352;0,319718217083382;0,00974554001292576;0,173723363251745;0,374170376637099;0,0243218738060848
"classe 7";0,342725843366173;0,15388881426917;-0,676298388721691;-0,506246874592494;0,645731154516829;-0,189718133987285;0,299696167679048;0,134567873353711;-0,591388245825558;-0,442686920614756;0,56465876765791;-0,165898775349899;0,169363941543847;0,0252849614000736;0,362140489678396;0,16925093906025;0,255423555871959;0,0181008315774762;0,0508399418520745;0,0102500372650198;0,197964830777392;0,110926688364089;0,180474072314673;0,0155786215216679;0,432824003250789;0,201766679766205;0,017620175605419
"classe 8";0,857768481604304;0,209009144713666;1,39841228802687;0,379651432132128;-0,245502992017464;0,154183107608088;0,498299544349891;0,121418732221295;0,812373292888759;0,220549180461137;-0,142618937023698;0,0895688917408863;0,378892825867204;0,0166581870176005;0,552993225770457;0,0339958129454206;0,013186210789721;0,00426975934030779;0,185647074544718;0,011022459650535;0,493421880998971;0,0363678834422496;0,0152076293913812;0,00599820812892894;0,252317830337508;0,337617510231735;0,0287605950465833
