"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,00758051387443101;82,5685492339731;82,5685492339731
"facteur 2";0,000805964507123791;8,77873468601502;91,3472839199881
"facteur 3";0,000334853405571737;3,64729362179141;94,9945775417795
"facteur 4";0,000251504278512521;2,73943742428342;97,734014966063
"facteur 5";0,000142226223808692;1,54915790109171;99,2831728671547
"facteur 6";4,89109402574055e-05;0,532748233908698;99,8159211010634
"facteur 7";1,69000504468731e-05;0,184078898936651;100
