"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"característica";0,19;0,48;0,11;0,22;1;0,31;0,29;0,2
"poner";0,44;0,12;0,58;0,44;0,39;0,33;0,33;0,38
"tensión";0,03;0;0,04;0,02;0;0,01;0,07;0,03
"posición";0,22;0,06;0,17;0,14;0,06;0,09;0,04;0,06
"antes";0,64;0,36;0,26;0,19;0,39;0,28;0,25;0,33
"describir";0,46;0,48;0,24;0,15;0,6;0,2;0,21;0,12
"brindar";0,07;0,06;0,19;0,24;0,03;0,38;0,31;0,25
"información";1,67;1,2;1,14;2,15;2,56;1,68;1,74;1,47
"forma";1,65;1,91;1,51;1,45;1,72;1,56;1,14;1,17
"producir";0,35;0,36;0,24;0,24;0,18;0,33;0,24;0,25
"alguno";1,12;1,08;0,84;1,25;1,36;1,21;0,86;0,9
"más";6,88;3,94;4,28;3,3;3,92;4,15;3,41;3,69
"salir";0,1;0;0;0,03;0;0,04;0,03;0,02
"conllevar";0,01;0,12;0,28;0,06;0,06;0,04;0,06;0,08
"implicación";0,15;0,18;0,11;0,08;0;0,21;0,23;0,31
"ético";0,05;0,3;0,54;0,6;1,36;0,59;1,11;0,88
"desarrollo";1,05;4,42;2,37;2,97;1,15;1,41;1,68;1,58
"uso";0,72;1,79;1,31;1,7;2,93;2,18;3,02;3,53
"abordar";0,34;0,42;0,6;0,51;0,6;0,41;0,6;0,64
"impacto";0,36;2,33;0,69;0,6;0,6;0,54;0,79;0,81
"ambiente";0,05;0,06;0,11;0,05;0,06;0,1;0,11;0,11
"entre";1,84;1,31;1,76;1,97;2,02;1,55;1,52;1,88
"otro";2,58;1,91;2,5;2,43;1,87;2,33;1,78;1,94
"temática";0,08;0;0,02;0,02;0,03;0,06;0,13;0,1
"propósito";0,12;0,06;0,24;0,09;0,03;0,18;0,19;0,19
"contribuir";0,1;0,06;0,28;0,27;0,24;0,24;0,31;0,32
"democratización";0,01;0;0;0,01;0;0,01;0,02;0,01
"conocimiento";3,16;2,39;0,65;1,39;0,81;1,47;1,33;1,26
"especializado";0,09;0,18;0,15;0,11;0,03;0,12;0,14;0,11
"cada";1,89;1,14;0,97;0,92;2,59;1,54;1,46;1,39
"vez";1,63;1,26;0,71;0,97;1,54;0,87;0,64;0,92
"re";0,02;0,12;0,65;0,1;0,03;0,12;0,15;0,93
"informar";0,21;0,06;0,09;0,42;0,24;0,15;0,26;0,22
"crítico";0,16;0,3;0,11;0,13;0,21;0,74;0,81;1,75
"relación";0,63;0,24;0,41;0,54;0,72;0,41;0,5;0,54
"suscitar";0,01;0,06;0;0,02;0;0,02;0,02;0,02
"auge";0,04;0,12;0,02;0;0;0,03;0,02;0,02
"sistema";2,77;4,18;3,57;1,68;8,41;1,92;1,78;1,38
"educativo";0,85;3,77;1,36;0,94;2,62;1,85;3,3;3,69
"aportar";0,1;0;0,19;0,06;0,21;0,1;0,16;0,15
"mirada";0,05;0;0;0,01;0,06;0,04;0,12;0,12
"desde";0,81;1,2;0,47;0,68;0,66;0,79;1,14;0,91
"perspectiva";0,12;0,06;0,02;0,2;0,06;0,32;0,49;0,49
"saberes";0;0,06;0;0;0,06;0,05;0,04;0,05
"enseñar";0,4;0,36;0;0,16;0,12;0,38;0,24;0,26
"sin";2,16;2,39;1,55;1,46;1,54;1,32;1,12;1,26
"recomendación";0,05;0,18;0,13;0,31;0,27;0,38;0,43;0,24
"especí";0;0;0,02;0,01;0;0,01;0,01;0,05
"co";0,02;0,24;0,82;0,25;0,06;0,14;0,16;0,23
"apoyar";0,14;0,36;0,39;0,69;0,84;0,29;0,27;0,2
"tarea";0,56;3,71;0,67;0,5;1,42;1,26;1,08;0,78
"gestión";0,2;0,3;0,3;0,29;0,27;0,31;0,59;0,38
"o";4,19;4,12;3,42;3,66;8,41;5,85;4,98;4,67
"pedagógicas";0;0,48;0,04;0,04;0,03;0,06;0,18;0,22
"elaboración";0,03;0;0,19;0,2;0,15;0,11;0,26;0,37
"colaboración";0,12;0;0,37;0,37;0,18;0,28;0,39;0,36
