"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0586983832497582;27,5050429081719;27,5050429081719
"facteur 2";0,0434657405164739;20,3672910862669;47,8723339944388
"facteur 3";0,0322328920592014;15,103773393051;62,9761073874899
"facteur 4";0,0268847047685698;12,5977057168111;75,5738131043009
"facteur 5";0,0249376979778969;11,685372150619;87,25918525492
"facteur 6";0,0204729173602195;9,59325349818072;96,8524387531007
"facteur 7";0,00671719571532429;3,14756124689932;100
