"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";1,27647218808889;-0,093710265438645;0,99731607445953;-0,0732164436765007;0,996573035984432;0,00342696401556193;0,617619659182945;0,00332868526769989;0,379051655549355;0,574608667364678;0,12515342608866
"classe 2";-0,921639796194523;-1,88290542612707;-0,439636756940997;-0,898175663189781;0,272994698417701;0,727005301582303;0,157452982942008;0,657181710264542;0,185365306793454;0,792682909324461;0,11647358515957
"classe 3";-0,718597432688575;0,882831377690674;-0,631278665613643;0,775556088455927;0,509420494667454;0,490579505332537;0,224927357875047;0,339489604467759;0,435583037657191;0,452441919948619;0,0891654555135312
