"";"X";"V1"
"456";456;0
"457";457;0
"458";458;0
"459";459;0
"460";460;0
"461";461;0
"462";462;0
"463";463;0
"464";464;0
"465";465;0
"466";466;2
"467";467;0
"468";468;1
"469";469;1
"470";470;1
"471";471;1
"472";472;1
"473";473;1
"474";474;1
"475";475;3
"476";476;1
"477";477;1
"478";478;1
"479";479;1
"480";480;1
"481";481;1
"482";482;1
"483";483;1
"484";484;1
"485";485;3
"486";486;1
"487";487;1
"488";488;1
"489";489;1
"490";490;1
"491";491;1
"492";492;1
"493";493;1
"494";494;3
"495";495;1
"496";496;1
"497";497;1
"498";498;1
"499";499;1
"500";500;1
"501";501;1
"502";502;1
"503";503;1
"504";504;1
"505";505;1
"506";506;1
"507";507;1
"508";508;1
"509";509;1
"510";510;1
"511";511;1
"512";512;1
"513";513;1
"514";514;1
"515";515;1
"516";516;3
"517";517;1
"518";518;1
"519";519;1
"520";520;1
"521";521;1
"522";522;1
"523";523;1
"524";524;3
"525";525;3
"526";526;1
"527";527;1
"528";528;1
"529";529;3
"530";530;1
"531";531;1
"532";532;3
"533";533;1
"534";534;1
"535";535;1
"536";536;1
"537";537;1
"538";538;3
"539";539;1
"540";540;1
"541";541;3
"542";542;1
"543";543;1
"544";544;3
"545";545;1
"546";546;1
"547";547;1
"548";548;1
"549";549;1
"550";550;1
"551";551;1
"552";552;1
"553";553;1
"554";554;3
"555";555;1
"556";556;1
"557";557;1
"558";558;1
"559";559;1
"560";560;1
"561";561;1
"562";562;1
"563";563;1
"564";564;1
"565";565;1
"566";566;1
"567";567;1
"568";568;1
"569";569;1
"570";570;1
"571";571;3
"572";572;1
"573";573;1
"574";574;3
"575";575;1
"576";576;3
"577";577;3
"578";578;3
"579";579;1
"580";580;3
"581";581;1
"582";582;1
"583";583;1
"584";584;1
"585";585;1
"586";586;3
"587";587;1
"588";588;1
"589";589;1
"590";590;1
"591";591;1
"592";592;3
"593";593;1
"594";594;1
"595";595;1
"596";596;1
"597";597;1
"598";598;1
"599";599;1
"600";600;1
"601";601;1
"602";602;1
"603";603;1
"604";604;1
"605";605;1
"606";606;3
"607";607;1
"608";608;1
"609";609;1
"610";610;1
"611";611;1
"612";612;1
"613";613;1
"614";614;1
"615";615;1
"616";616;1
"617";617;1
"618";618;1
"619";619;1
"620";620;1
"621";621;1
"622";622;1
"623";623;3
"624";624;1
